"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4415","VerifyHomePageLoads","green_city_sh.Tests","Wed May 06 13:13:42 UTC 2026","passed","Wed May 06 13:13:46 UTC 2026","HomePageTests","green_city_sh.Tests.Tests.WEB","HomePageTests","VerifyHomePageLoads"
"Verify that a new user can successfully register with valid data and receives a confirmation message.","8088","Register_WithValidData_ShouldShowSuccessMessage","green_city_sh.Tests","Wed May 06 13:14:15 UTC 2026","passed","Wed May 06 13:14:23 UTC 2026","RegistrationTests","green_city_sh.Tests.Tests.WEB","RegistrationTests","Register_WithValidData_ShouldShowSuccessMessage"
"Date time format is valid","20529","TC037_Step4_DateTimeFormat_IsValid","","Wed May 06 13:16:12 UTC 2026","passed","Wed May 06 13:16:33 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step4_DateTimeFormat_IsValid"
"Publish button remains disabled for invalid description","6801","TC010_Step3_PublishButton_RemainsDisabled","","Wed May 06 13:18:15 UTC 2026","passed","Wed May 06 13:18:22 UTC 2026","","GreenCity","TC010_PublishButton_RemainsDisabled","TC010_Step3_PublishButton_RemainsDisabled"
"Event card is visible","22385","TC037_Step1_FirstEventCard_IsVisible","","Wed May 06 13:15:06 UTC 2026","passed","Wed May 06 13:15:28 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step1_FirstEventCard_IsVisible"
"TC-024: Successful login to the system with valid credentials","7273","VerifySuccessfulLoginWithValidCredentials","","Wed May 06 13:13:50 UTC 2026","passed","Wed May 06 13:13:57 UTC 2026","LoginPage","","LoginTests","VerifySuccessfulLoginWithValidCredentials"
"Verify that login with invalid email format shows error and disables Sign In button","23219","AttemptToLoginWithInvalidEmail","","Wed May 06 13:14:19 UTC 2026","passed","Wed May 06 13:14:42 UTC 2026","LoginPage","","LoginTests","AttemptToLoginWithInvalidEmail"
"","335","VerifySuccessSignIn","green_city_sh.Tests","Wed May 06 13:13:05 UTC 2026","passed","Wed May 06 13:13:05 UTC 2026","LoginAPITests","green_city_sh.Tests.Tests.API","LoginAPITests","VerifySuccessSignIn"
"Validation error for short description","7238","TC010_Step2_ValidErrorAppears","","Wed May 06 13:18:08 UTC 2026","passed","Wed May 06 13:18:15 UTC 2026","","GreenCity","TC010_PublishButton_RemainsDisabled","TC010_Step2_ValidErrorAppears"
"Verify that searching for events using a keyword returns cards contain the searched keyword in their title","9866","SearchByKeywordReturnsMatchingEvents","green_city_sh.Tests","Wed May 06 13:13:32 UTC 2026","broken","Wed May 06 13:13:42 UTC 2026","EventsSearchTests","green_city_sh.Tests.Tests.WEB","EventsSearchTests","SearchByKeywordReturnsMatchingEvents"
"Inability to save an event with a whitespace value in 'Title' field","23273","TC011_Step1_EnterWhitespaceInTitle_WhitespaceIsAccepted","","Wed May 06 13:14:51 UTC 2026","passed","Wed May 06 13:15:14 UTC 2026","","GreenCity","TC011_CreateEventTest","TC011_Step1_EnterWhitespaceInTitle_WhitespaceIsAccepted"
"Event category tag is valid","21719","TC037_Step3_CategoryTag_IsValidValue","","Wed May 06 13:15:50 UTC 2026","passed","Wed May 06 13:16:12 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step3_CategoryTag_IsValidValue"
"TC-034: Editing user profile","6627","EditProfile_ShouldSaveAndRevertChanges","green_city_sh.Tests","Wed May 06 13:17:56 UTC 2026","broken","Wed May 06 13:18:03 UTC 2026","ProfileTests","green_city_sh.Tests.Tests.WEB","ProfileTests","EditProfile_ShouldSaveAndRevertChanges"
"Verify that the comments are displayed down the news page section","8315","VerifyCommentsCount","","Wed May 06 13:14:05 UTC 2026","broken","Wed May 06 13:14:13 UTC 2026","Comment","GreenCity","NewsDetailsPageTests","VerifyCommentsCount"
"Event status is open or closed","21392","TC037_Step5_EventStatus_IsOpenOrClosed","","Wed May 06 13:16:33 UTC 2026","passed","Wed May 06 13:16:54 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step5_EventStatus_IsOpenOrClosed"
"Entered valid text is displayed","53892","TC001_Step2_EnterValidText_IsDisplayedInInput","","Wed May 06 13:15:38 UTC 2026","passed","Wed May 06 13:16:32 UTC 2026","","GreenCity","TC001_AddCommentTests","TC001_Step2_EnterValidText_IsDisplayedInInput"
"Verify publication date is displayed in Ukrainian format","8974","VerifyPublicationDateIsDisplayedInUkrainianFormat","","Wed May 06 13:14:52 UTC 2026","passed","Wed May 06 13:15:01 UTC 2026","Format","GreenCity","NewsDetailsPageTests","VerifyPublicationDateIsDisplayedInUkrainianFormat"
"Filter news by tags - verify each tag shows relevant news and counter updates correctly","19774","FilterNewsByTags_ShowsOnlyNewsWithThatTag","","Wed May 06 13:14:27 UTC 2026","broken","Wed May 06 13:14:46 UTC 2026","NewsPage","","NewsPageTests","FilterNewsByTags_ShowsOnlyNewsWithThatTag"
"","6950","Register_WithInvalidEmail_ShouldShowValidationError","green_city_sh.Tests","Wed May 06 13:14:23 UTC 2026","passed","Wed May 06 13:14:30 UTC 2026","RegistrationTests","green_city_sh.Tests.Tests.WEB","RegistrationTests","Register_WithInvalidEmail_ShouldShowValidationError"
"Verify that the user can reply to another user's comment","23283","VerifyThatUserCanReplyToAnotherUserComment","","Wed May 06 13:15:19 UTC 2026","broken","Wed May 06 13:15:43 UTC 2026","Comment","GreenCity","NewsDetailsPageTests","VerifyThatUserCanReplyToAnotherUserComment"
"","25028","VerifyUserCanCreateNewEvent","green_city_sh.Tests","Wed May 06 13:13:40 UTC 2026","broken","Wed May 06 13:14:05 UTC 2026","CreateEventsTests","green_city_sh.Tests.Tests.WEB","CreateEventsTests","VerifyUserCanCreateNewEvent"
"Comment visible after refresh","40524","TC001_Step4_AfterPageRefresh_CommentRemainsVisible","","Wed May 06 13:17:15 UTC 2026","passed","Wed May 06 13:17:56 UTC 2026","","GreenCity","TC001_AddCommentTests","TC001_Step4_AfterPageRefresh_CommentRemainsVisible"
"Verify that the user can delete their comment and the counter updates","30726","VerifyDeletingUserCommentAndCounterUpdates","","Wed May 06 13:14:13 UTC 2026","failed","Wed May 06 13:14:44 UTC 2026","Comment","GreenCity","NewsDetailsPageTests","VerifyDeletingUserCommentAndCounterUpdates"
"Verify that the user can successfully edit their own comment","9588","VerifyThatUserCanEditTheirOwnComment","","Wed May 06 13:15:10 UTC 2026","passed","Wed May 06 13:15:19 UTC 2026","Comment","GreenCity","NewsDetailsPageTests","VerifyThatUserCanEditTheirOwnComment"
"Verify that the user cannot submit a comment with an uploaded image only","11650","VerifyCommentSubmissionWithImageOnly","","Wed May 06 13:13:22 UTC 2026","passed","Wed May 06 13:13:34 UTC 2026","Format","GreenCity","EventDetailsPageTests","VerifyCommentSubmissionWithImageOnly"
