"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filter and Search Functionality","22486","SearchTypeAndDateRange","green_city_sh.Tests","Tue May 12 09:52:17 UTC 2026","failed","Tue May 12 09:52:40 UTC 2026","SearchTypeAndDateRangeTest","green_city_sh.Tests.Tests.WEB","SearchTypeAndDateRangeTest","SearchTypeAndDateRange"
"Event image is present","25455","TC037_Step2_EventImage_IsPresentAndLoaded","","Tue May 12 09:53:04 UTC 2026","broken","Tue May 12 09:53:29 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step2_EventImage_IsPresentAndLoaded"
"Search news by keyword - verify that only news containing the keyword are displayed and the counter updates","25129","SearchNewsByKeyword_ShowsOnlyNewsWithKeyword","","Tue May 12 09:52:16 UTC 2026","broken","Tue May 12 09:52:41 UTC 2026","NewsPage","","NewsPageTests","SearchNewsByKeyword_ShowsOnlyNewsWithKeyword"
"TC-027: Successful logout from the site (Sign Out)","34072","Logout_AfterSuccessfulLogin_ShouldEndUserSession","green_city_sh.Tests","Tue May 12 09:49:57 UTC 2026","broken","Tue May 12 09:50:31 UTC 2026","LogoutTests","green_city_sh.Tests.Tests.WEB","LogoutTests","Logout_AfterSuccessfulLogin_ShouldEndUserSession"
"Event card is visible","22596","TC037_Step1_FirstEventCard_IsVisible","","Tue May 12 09:52:41 UTC 2026","broken","Tue May 12 09:53:04 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step1_FirstEventCard_IsVisible"
"Valid title is accepted","5291","TC010_Step1_EnterValidTitle_TitleIsAccepted","","Tue May 12 09:55:15 UTC 2026","passed","Tue May 12 09:55:20 UTC 2026","","GreenCity","TC010_PublishButton_RemainsDisabled","TC010_Step1_EnterValidTitle_TitleIsAccepted"
"Title validation","24988","TC011_Step3_PublishButton_RemainsDisabled","","Tue May 12 09:53:05 UTC 2026","broken","Tue May 12 09:53:30 UTC 2026","","GreenCity","TC011_CreateEventTest","TC011_Step3_PublishButton_RemainsDisabled"
"Verify that the comments are displayed down the news page section","23887","VerifyCommentsCount","","Tue May 12 09:51:23 UTC 2026","broken","Tue May 12 09:51:47 UTC 2026","Comment","GreenCity","NewsDetailsPageTests","VerifyCommentsCount"
"Verify that the user can successfully edit their own comment","19274","VerifyThatUserCanEditTheirOwnComment","","Tue May 12 09:53:25 UTC 2026","broken","Tue May 12 09:53:44 UTC 2026","Comment","GreenCity","NewsDetailsPageTests","VerifyThatUserCanEditTheirOwnComment"
"Submitted comment increases counter","21245","TC001_Step3_SubmitsComment_CountIncreasedByOne","","Tue May 12 09:53:31 UTC 2026","broken","Tue May 12 09:53:52 UTC 2026","","GreenCity","TC001_AddCommentTests","TC001_Step3_SubmitsComment_CountIncreasedByOne"
"","6341","Register_WithInvalidEmail_ShouldShowValidationError","green_city_sh.Tests","Tue May 12 09:52:20 UTC 2026","passed","Tue May 12 09:52:27 UTC 2026","RegistrationTests","green_city_sh.Tests.Tests.WEB","RegistrationTests","Register_WithInvalidEmail_ShouldShowValidationError"
"","311","VerifySignInNotValidPassword","green_city_sh.Tests","Tue May 12 09:50:31 UTC 2026","failed","Tue May 12 09:50:31 UTC 2026","LoginAPITests","green_city_sh.Tests.Tests.API","LoginAPITests","VerifySignInNotValidPassword"
"Inability to save an event with a whitespace value in 'Title' field","24797","TC011_Step1_EnterWhitespaceInTitle_WhitespaceIsAccepted","","Tue May 12 09:52:40 UTC 2026","broken","Tue May 12 09:53:05 UTC 2026","","GreenCity","TC011_CreateEventTest","TC011_Step1_EnterWhitespaceInTitle_WhitespaceIsAccepted"
"Verify that ""Create event"" button redirects to the event creation","25774","CreateEventTest","green_city_sh.Tests","Tue May 12 09:50:31 UTC 2026","broken","Tue May 12 09:50:57 UTC 2026","CreateEventButtonTest","green_city_sh.Tests.Tests.WEB","CreateEventButtonTest","CreateEventTest"
"Comment visible after refresh","41356","TC001_Step4_AfterPageRefresh_CommentRemainsVisible","","Tue May 12 09:53:52 UTC 2026","passed","Tue May 12 09:54:33 UTC 2026","","GreenCity","TC001_AddCommentTests","TC001_Step4_AfterPageRefresh_CommentRemainsVisible"
"Verify that a new user can successfully register with valid data and receives a confirmation message.","9456","Register_WithValidData_ShouldShowSuccessMessage","green_city_sh.Tests","Tue May 12 09:52:11 UTC 2026","passed","Tue May 12 09:52:20 UTC 2026","RegistrationTests","green_city_sh.Tests.Tests.WEB","RegistrationTests","Register_WithValidData_ShouldShowSuccessMessage"
"Verify that the user can cancel joining an event","24008","VerifyCancelJoiningEvent","","Tue May 12 09:51:47 UTC 2026","broken","Tue May 12 09:52:11 UTC 2026","Format","GreenCity","EventDetailsPageTests","VerifyCancelJoiningEvent"
"Entered valid text is displayed","25539","TC001_Step2_EnterValidText_IsDisplayedInInput","","Tue May 12 09:53:05 UTC 2026","broken","Tue May 12 09:53:31 UTC 2026","","GreenCity","TC001_AddCommentTests","TC001_Step2_EnterValidText_IsDisplayedInInput"
"Verify guest restrictions on Event page","11028","VerifyGuestRestrictionsOnEventPage","","Tue May 12 09:50:57 UTC 2026","passed","Tue May 12 09:51:08 UTC 2026","Format","GreenCity","EventPageTests","VerifyGuestRestrictionsOnEventPage"
"Event status is open or closed","19945","TC037_Step5_EventStatus_IsOpenOrClosed","","Tue May 12 09:54:12 UTC 2026","passed","Tue May 12 09:54:32 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step5_EventStatus_IsOpenOrClosed"
"Verify that login with invalid email format shows error and disables Sign In button","21854","AttemptToLoginWithInvalidEmail","","Tue May 12 09:51:55 UTC 2026","passed","Tue May 12 09:52:17 UTC 2026","LoginPage","","LoginTests","AttemptToLoginWithInvalidEmail"
"Action button is enabled","20908","TC037_Step6_ActionButtons_ArePresentAndEnabled","","Tue May 12 09:54:32 UTC 2026","passed","Tue May 12 09:54:53 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step6_ActionButtons_ArePresentAndEnabled"
"Date time format is valid","21865","TC037_Step4_DateTimeFormat_IsValid","","Tue May 12 09:53:50 UTC 2026","passed","Tue May 12 09:54:12 UTC 2026","","GreenCity","TC037_EventCardUITest","TC037_Step4_DateTimeFormat_IsValid"
"Verify publication date is displayed in Ukrainian format","23131","VerifyPublicationDateIsDisplayedInUkrainianFormat","","Tue May 12 09:52:39 UTC 2026","broken","Tue May 12 09:53:02 UTC 2026","Format","GreenCity","NewsDetailsPageTests","VerifyPublicationDateIsDisplayedInUkrainianFormat"
"TC-034: Editing user profile","21659","EditProfile_ShouldSaveAndRevertChanges","green_city_sh.Tests","Tue May 12 09:54:53 UTC 2026","broken","Tue May 12 09:55:15 UTC 2026","ProfileTests","green_city_sh.Tests.Tests.WEB","ProfileTests","EditProfile_ShouldSaveAndRevertChanges"
"Verify that the user can delete their comment and the counter updates","26622","VerifyDeletingUserCommentAndCounterUpdates","","Tue May 12 09:51:47 UTC 2026","broken","Tue May 12 09:52:14 UTC 2026","Comment","GreenCity","NewsDetailsPageTests","VerifyDeletingUserCommentAndCounterUpdates"
"Publish button remains disabled for invalid description","6520","TC010_Step3_PublishButton_RemainsDisabled","","Tue May 12 09:55:26 UTC 2026","passed","Tue May 12 09:55:32 UTC 2026","","GreenCity","TC010_PublishButton_RemainsDisabled","TC010_Step3_PublishButton_RemainsDisabled"
"Verify that the user can reply to another user's comment","19824","VerifyThatUserCanReplyToAnotherUserComment","","Tue May 12 09:53:44 UTC 2026","broken","Tue May 12 09:54:04 UTC 2026","Comment","GreenCity","NewsDetailsPageTests","VerifyThatUserCanReplyToAnotherUserComment"
"Filter news by tags - verify each tag shows relevant news and counter updates correctly","22534","FilterNewsByTags_ShowsOnlyNewsWithThatTag","","Tue May 12 09:51:54 UTC 2026","broken","Tue May 12 09:52:16 UTC 2026","NewsPage","","NewsPageTests","FilterNewsByTags_ShowsOnlyNewsWithThatTag"
